Fraction,Profit,Realm,Week Num
alliance,19087517.872023035,moon-guard,12.0
alliance,19697015.85237691,moon-guard,13.0
alliance,21453478.657744806,moon-guard,14.0
alliance,21674814.69313345,moon-guard,15.0
alliance,19744414.943410113,moon-guard,16.0
alliance,18706094.511380244,moon-guard,17.0
alliance,17658862.72964928,moon-guard,18.0
alliance,16236676.341550041,moon-guard,19.0
alliance,17467466.19546002,moon-guard,20.0
alliance,18647908.105426412,moon-guard,21.0
alliance,17937451.473599993,moon-guard,22.0
alliance,17439716.289196182,moon-guard,23.0
alliance,19389230.6799728,moon-guard,24.0
alliance,16050374.735814262,moon-guard,25.0
alliance,19854004.330941178,moon-guard,26.0
alliance,18305417.351819053,moon-guard,27.0
alliance,17575667.510931883,moon-guard,28.0
alliance,18846275.767472807,moon-guard,29.0
alliance,20381423.07413138,moon-guard,30.0
alliance,26588163.87721549,moon-guard,31.0
alliance,16984056.513464935,moon-guard,32.0
alliance,17779200.112890523,moon-guard,33.0
alliance,17496910.837916683,moon-guard,34.0
alliance,16249059.01884741,moon-guard,35.0
alliance,16346954.687077893,moon-guard,36.0
alliance,17453073.07947779,moon-guard,37.0
alliance,22043207.294395998,moon-guard,38.0
alliance,16788962.519370656,moon-guard,39.0
alliance,19280850.0026204,moon-guard,40.0
alliance,17908050.967230357,moon-guard,41.0
alliance,3563254.320566669,thrall,11.0
alliance,3179447.316108336,thrall,12.0
alliance,2952052.214600714,thrall,13.0
alliance,2970759.254478336,thrall,14.0
alliance,3091705.5957907154,thrall,15.0
alliance,2852858.79401643,thrall,16.0
alliance,2815319.720782622,thrall,17.0
alliance,2809527.841013098,thrall,18.0
alliance,3188876.183289047,thrall,19.0
alliance,2693810.2285216693,thrall,20.0
alliance,2929166.452508341,thrall,21.0
alliance,2725046.0883285706,thrall,22.0
alliance,2523877.5041576196,thrall,23.0
alliance,2825245.029228813,thrall,24.0
alliance,2707165.648865477,thrall,25.0
alliance,2569834.9871414304,thrall,26.0
alliance,2673935.9727985747,thrall,27.0
alliance,3553554.4545081044,thrall,28.0
alliance,3076188.8400854827,thrall,29.0
alliance,2613563.781968571,thrall,30.0
alliance,2679922.968263575,thrall,31.0
alliance,2690186.0162816644,thrall,32.0
alliance,2913580.0464845304,thrall,33.0
alliance,2741237.4998800014,thrall,34.0
alliance,2537439.736206195,thrall,35.0
alliance,2649474.8831118997,thrall,36.0
alliance,2679602.1588666695,thrall,37.0
alliance,2750372.52375691,thrall,38.0
alliance,2570077.3972611907,thrall,39.0
alliance,4340302.014356663,thrall,40.0
alliance,2365317.433405001,thrall,41.0
alliance,16208959.576191649,wyrmrest-accord,11.0
alliance,17632858.097311642,wyrmrest-accord,12.0
alliance,15262172.795350265,wyrmrest-accord,13.0
alliance,15586518.689254966,wyrmrest-accord,14.0
alliance,18351217.883470967,wyrmrest-accord,15.0
alliance,16524445.6628598,wyrmrest-accord,16.0
alliance,15417647.800880501,wyrmrest-accord,17.0
alliance,14782055.658339512,wyrmrest-accord,18.0
alliance,15300905.314354299,wyrmrest-accord,19.0
alliance,15190902.943195013,wyrmrest-accord,20.0
alliance,16063819.828735266,wyrmrest-accord,21.0
alliance,15823828.016629511,wyrmrest-accord,22.0
alliance,16080284.253859237,wyrmrest-accord,23.0
alliance,15109953.08730071,wyrmrest-accord,24.0
alliance,17253572.138270445,wyrmrest-accord,25.0
alliance,16800192.75839308,wyrmrest-accord,26.0
alliance,17623905.28996694,wyrmrest-accord,27.0
alliance,21682751.27034113,wyrmrest-accord,28.0
alliance,17459421.446492348,wyrmrest-accord,29.0
alliance,20435299.94556166,wyrmrest-accord,30.0
alliance,19994252.259043973,wyrmrest-accord,31.0
